Formula,sigma bond length_aPbO2,Cation sigma_aPbO2,DeltaH_aPbO2,sigma bond length_bad,Cation sigma_bad,DeltaH_bad,sigma bond length_rut,Cation sigma_rut,DeltaH_rut,rho_aPbO2,rho_bad,rho_rut,Min_rho,Min_Crystal_rho,Min_Crystal_DeltaH,Min_Crystal_sigma
"['Hf', 'Pb', 'Sn', 'Zr']",0.0653968339033733,0.0328956382262125,0.0571400668146031,0.0665376495884989,0.0360345579951982,0.0575418557155336,0.0415800432906595,0.0338700528653066,0.0470336714006576,0.945108430138717,1.008976609216285,0.914431228759358,0.914431228759358,rut,rut,aPbO2
"['Hf', 'Sn', 'Ti', 'Zr']",0.0944547003463981,0.0299359345584294,0.0750966429584929,,,,0.0662548146077351,0.0329201367999715,0.0793317564415199,0.9999999999999999,,1.0782581808583285,0.9999999999999999,aPbO2,aPbO2,aPbO2
"['Ir', 'Pt', 'Rh', 'Ru']",,,,,,,0.1485725194183952,0.0399778282955192,0.0379921655577257,,,1.0097924622165984,1.0097924622165984,rut,rut,rut
"['Hf', 'Pb', 'Sn', 'Ti']",0.0988099843956517,0.0358747466757908,0.1017836160237095,0.1001084917103196,0.0355624056615348,0.1030642276582298,0.0774150632200694,0.0335669510273163,0.0781495357018222,1.279286484118942,1.2835042313966374,1.081724580988763,1.081724580988763,rut,rut,rut
"['Hf', 'Pb', 'Pt', 'Sn']",,,,0.0704572103370044,0.0497151311636765,0.1137108082602624,0.060433360374812,0.0384668583623758,0.0856267067729712,,1.5891449000355744,1.2147544697701327,1.2147544697701327,rut,rut,rut
"['Hf', 'Pt', 'Sn', 'Ti']",0.0667319250285837,0.0437346626211515,0.1187222165522312,0.0669382869410098,0.0464833318458765,0.1093281819506719,0.050231768126378,0.0421276963064623,0.0748493551772737,1.5221165539837938,1.5050772095830773,1.2193872812178894,1.2193872812178894,rut,rut,rut
"['Pb', 'Sn', 'Ti', 'Zr']",0.1025604337095019,0.0370924041130497,0.0962964219658095,0.1054992360957502,0.0372134810769771,0.0904942101464163,0.0856800393148841,0.041021515580832,0.0852594096316066,1.2608651042897503,1.224218336696521,1.2583167916550309,1.224218336696521,bad,rut,aPbO2
"['Hf', 'Pb', 'Ti', 'Zr']",0.1094352621820239,0.0365939528320881,0.1067721156508865,0.1066248986825606,0.035772595462735,0.1089553471445041,0.0863954948870423,0.0335137779890242,0.1030189630345672,1.3258558986635292,1.3290930332186885,1.252039046685919,1.252039046685919,rut,rut,rut
"['Ge', 'Mn', 'Ti', 'V']",,,,0.0861870575016955,0.0608388043762851,0.1167043484391561,0.0472138112055355,0.0486840113485042,0.0541478166840247,,1.809051174116855,1.2579082071952712,1.2579082071952712,rut,rut,rut
"['Ge', 'Hf', 'Sn', 'Ti']",0.0965715512529812,0.0383401789507897,0.1271276663656912,0.0946445385699378,0.0393692601873991,0.1303971439896258,0.0702855021702267,0.0371262150836974,0.1008957428610806,1.501008464218976,1.540225174199375,1.2929003505892993,1.2929003505892993,rut,rut,rut
"['Ir', 'Rh', 'Ru', 'V']",,,,0.042984830761391,0.0395948929039744,0.1308491232723891,0.0368345059574732,0.0444621807149439,0.0830098793302429,,1.546836478418909,1.3091605787125542,1.3091605787125542,rut,rut,bad
