,Cation,EperFormula,File
0,Pt,-17.2973205634327,./Binary_oxides/PtO2-Pnnm-ICSD_CollCode4415.cif
1,Mn,-21.28409449271204,./Binary_oxides/MnO2-Pbnm-ICSD_CollCode54114.cif
2,Rh,-18.808490585830157,./Binary_oxides/RhO2-Fd-3mS-ICSD_CollCode174911.cif
3,Mn,-21.2879051400486,./Binary_oxides/MnO2-rutile-ICSD_CollCode393.cif
4,Hf,-30.516987787798477,./Binary_oxides/HfO2-baddeleyite-ICSD_CollCode60903.cif
5,Ti,-26.89571939000177,./Binary_oxides/TiO2-anatase-ICSD_CollCode9852.cif
6,Pt,-17.124670715106404,./Binary_oxides/PtO2-Pa-3-ICSD_CollCode251568.cif
7,Mn,-30.9559769815672,./Binary_oxides/MnO2-P63mmc-ICSD_CollCode76430.cif
8,Zr,-28.338138288380545,./Binary_oxides/ZrO2-zirconia-ICSD_CollCode66781.cif
9,Ir,-20.887236351206976,./Binary_oxides/IrO2-Pa-3-ICSD_CollCode251567.cif
10,Ti,-26.84209648478049,./Binary_oxides/TiO2-brookite-ICSD_CollCode36408.cif
11,Ti,-26.801936343975125,./Binary_oxides/TiO2-rutiIe-ICSD_CollCode9161.cif
12,Ge,-19.352316578360508,./Binary_oxides/GeO2-rutile-ICSD_CollCode92551.cif
13,Pb,-16.031209414790453,./Binary_oxides/PbO2-rutile-ICSD_CollCode35966.cif
14,Hf,-30.15386275053337,./Binary_oxides/HfO2-cotunnite-ICSD_CollCode83863.cif
15,V,-23.255432077260693,./Binary_oxides/VO2-C2m-ICSD_CollCode34416.cif
16,Nb,-27.305540383968214,./Binary_oxides/NbO2-I41aZ-ICSD_CollCode96.cif
17,Ce,-26.191137011144583,./Binary_oxides/CeO2-fluorite-ICSD_CollCode72155.cif
18,Ir,-21.09692474486741,./Binary_oxides/IrO2-rutile-ICSD_CollCode84577.cif
19,Zr,-28.457081189857497,./Binary_oxides/ZrO2-baddeleyite-ICSD_CollCode68782.cif
20,Ru,-22.177257484299957,./Binary_oxides/RuO2-rutile-ICSD_CollCode117650.cif
21,Sn,-18.785551380849096,./Binary_oxides/SnO2-rutile-ICSD_CollCode39173.cif
22,V,-23.255447501989536,./Binary_oxides/VO2-rutile-ICSD_CollCode1504.cif
23,Rh,-19.12318651880876,./Binary_oxides/RhO2-Pa-3-ICSD_CollCode251565.cif
24,Rh,-19.39216830570282,./Binary_oxides/RhO2-rutile-ICSD_CollCode28498.cif
25,V,-23.183487682343603,./Binary_oxides/VO2-I4m-ICSD_CollCode51214.cif
26,Pb,-16.031200249617772,./Binary_oxides/PbO2-cacl2-ICSD_CollCode35967.cif
27,Hf,-30.45286664830153,./Binary_oxides/HfO2-brookite-ICSD_CollCode79913.cif
28,V,-22.90198919409767,./Binary_oxides/VO2-P-1-ICSD_CollCode1501.cif
29,Rh,-18.808490440903924,./Binary_oxides/RhO2-anatase-ICSD_CollCode174912.cif
30,V,-23.255446962143154,./Binary_oxides/VO2-Pnnm-ICSD_CollCode119725.cif
31,Pb,-16.03002704931949,./Binary_oxides/PbO2-alphaPbO2-ICSD_CollCode415268.cif
