Formula,Energy,sigma bond length,Bond length,O sigma,Cation sigma,DeltaH,T/K
"['Sn', 'Zr', 'Pb', 'Nb']",-5870.68123556686,0.143319250018974,2.1484769307454803,0.4858476175361824,0.07334208049344036,-0.28750298406673114,-2406.6567887844085
"['Sn', 'Pb', 'Nb', 'V']",-5535.784592504288,0.1517216534341162,2.111285115175459,0.454401814822459,0.08409012115697198,-0.27972139407055163,-2341.5179296082706
"['Hf', 'Zr', 'Pb', 'Nb']",-6619.323403021483,0.1269370721280129,2.121744940056175,0.49646209019548465,0.08423974407144832,-0.27902734894900494,-2335.7081519848657
"['Ti', 'Hf', 'Pb', 'Nb']",-6516.814640967648,0.176848313498447,2.108503089883884,0.5040197950748576,0.07288954368129409,-0.2689429471401459,-2251.2927009491045
"['Ti', 'Zr', 'Pb', 'Nb']",-6382.34119803938,0.1796008263656256,2.1166727393460145,0.4406620845987741,0.07237389541946376,-0.25863271018684575,-2164.9868080270458
"['Sn', 'Hf', 'Pb', 'Nb']",-5993.67303689078,0.1392285218244835,2.138663357015665,0.5702968113646998,0.08408921647325848,-0.252963058503048,-2117.5267590152143
"['Zr', 'Pb', 'Ce', 'Nb']",-6329.960892570176,0.1600016066423227,2.188443410709992,0.4910217143430743,0.09030333209006369,-0.23016773666206536,-1926.7095532766023
"['Ti', 'Sn', 'Pb', 'Nb']",-5753.870459614064,0.1638085505816049,2.111536954351896,0.4711628695861585,0.0783905360910686,-0.2215513404650542,-1854.5826205085584
"['Hf', 'Pb', 'Ce', 'Nb']",-6457.643872296739,0.1558972800880233,2.170102495525521,0.49173254273020034,0.08150877039835806,-0.21395272673370247,-1790.9754361126445
"['Zr', 'Pb', 'Pt', 'Nb']",-5755.632290677657,0.139857907830118,2.1338955627101663,0.6768201808868392,0.10480626008794748,-0.21015074744738182,-1759.14947336675
"['Hf', 'Pb', 'Pt', 'Nb']",-5886.309127692867,0.1300425019198045,2.121351296169776,0.6704831056162938,0.08519164793864373,-0.20563049255280053,-1721.3109021797636
"['Ti', 'Pb', 'Pt', 'Nb']",-5652.760959370859,0.1586579390204048,2.099773512827515,0.5541775801071148,0.0738704767807878,-0.1986500594941356,-1662.8784422043507
"['Sn', 'Pb', 'Pt', 'Nb']",-5133.524048909736,0.1244856397554347,2.123453739046807,0.5424925155752258,0.09175541940123089,-0.19792288029354044,-1656.7913027422817
"['Ge', 'Zr', 'Pb', 'Nb']",-5883.626900790563,0.1890141832408666,2.1032317392202518,0.5296190052726446,0.09170586158541613,-0.19638068946897125,-1643.8817879781184
