Formula,Energy,sigma bond length,Bond length,O sigma,Cation sigma,DeltaH,T/K
"['Sn', 'Zr', 'Pb', 'V']",-5532.14728462042,0.1240835229484009,2.1043659545668643,0.4625073985517198,0.0702338924731012,0.0223720413231323,187.27396970872724
"['Sn', 'Hf', 'Pb', 'V']",-5660.293488461102,0.1167822395120939,2.094233772301885,0.5005992402498673,0.0646604129165442,0.0367775820557128,307.861213394964
"['Sn', 'Pb', 'Pt', 'V']",-4812.92164873424,0.1146243990600145,2.0829889502546908,0.3028574150253553,0.0628563775031859,0.0419070248973216,350.7992318559282
"['Hf', 'Zr', 'Pb', 'V']",-6277.840072697554,0.1318416589273219,2.1036999152679257,0.6378905132340017,0.0839026564154472,0.0423686896341717,354.66377808555853
"['Ti', 'Sn', 'Pb', 'V']",-5425.557769987965,0.1325199526961459,2.069825120886444,0.4107579155344858,0.0554282133764348,0.0483968828922272,405.1251403413196
"['Ti', 'Zr', 'Pb', 'V']",-6043.714015773739,0.1501284264022502,2.076695705874462,0.5266454226360376,0.0726903276670528,0.0516065000436452,431.9925028903848
"['Sn', 'Hf', 'Zr', 'Pb']",-5988.435594411974,0.0653968339033733,2.13593372704721,0.6250719084929184,0.0328956382262125,0.055380902652109,463.5876242097402
"['Sn', 'Hf', 'Zr', 'V']",-6450.240879078421,0.0928582626035963,2.077476190253804,0.4213960923222229,0.050068219815923,0.0575135312235719,481.4396303241377
"['Zr', 'Pb', 'Pt', 'V']",-5427.542462590936,0.1286386055053415,2.0890561678526427,0.5604838206742259,0.0836984692369894,0.0589269230217013,493.2709821872222
"['Hf', 'Pb', 'Pt', 'V']",-5558.206446952862,0.1180853102080776,2.078942763299444,0.5567184622037902,0.0713679781497399,0.0634973835931749,531.5298197360364
"['Ti', 'Hf', 'Pb', 'V']",-6172.270964677653,0.1386148874593683,2.067283482634732,0.5178264326106073,0.0679460238701804,0.0644075678729798,539.1488751804452
"['Ti', 'Sn', 'Hf', 'V']",-6347.999418531112,0.1020064894249345,2.042251918880274,0.3785822030979897,0.0475737734510446,0.0665537865225678,557.1146423880917
"['Ti', 'Sn', 'Zr', 'V']",-6214.867095223071,0.1120851240870203,2.05328517044394,0.3321578579083111,0.0485998192861479,0.071625274959354,599.5675307128965
"['Pb', 'Rh', 'Ir', 'Pt']",-4705.781038724666,0.0844020300604301,2.065082944327385,0.1625544203767581,0.0659700395850376,0.0724485746801191,606.4592847884778
"['Ti', 'Pb', 'Pt', 'V']",-5323.640387143683,0.1281947869073554,2.0531143489147223,0.479921499679254,0.0689729768258479,0.0744539552736025,623.246111662884
"['Ti', 'Sn', 'Hf', 'Zr']",-6678.717763871151,0.0944547003463981,2.083373653476965,0.3244523046019819,0.0299359345584294,0.0750936720050292,628.6011121321304
"['Sn', 'Hf', 'Pt', 'V']",-5731.454278550992,0.0694444623358996,2.046891227428444,0.4465215015902284,0.0606905016489143,0.0753335329276421,630.608962310257
"['Ti', 'Hf', 'Pt', 'V']",-6250.021734924927,0.0796316510758946,2.019826921559288,0.5137292688907886,0.0585015772369237,0.0772214087551272,646.4121693320826
"['Sn', 'Pb', 'Ir', 'V']",-5046.106137895227,0.1174671895594061,2.077445097242784,0.2194191293834118,0.0726075249503728,0.0809311594708939,677.4660965592354
"['Ti', 'Sn', 'Pt', 'V']",-5498.076020424271,0.0752652435554321,2.019016721915957,0.4023972477661531,0.0474551987963003,0.0816502542859698,683.4855624931281
"['Pb', 'Rh', 'Ru', 'V']",-5153.737492518365,0.1239745678512574,2.0482207749479646,0.2371430630657981,0.0627108793245287,0.0822335965458309,688.368658278853
"['Sn', 'Zr', 'Pt', 'V']",-5597.253180463123,0.0785912894532012,2.0560187509409213,0.4633244906069848,0.0568694779073675,0.0845799228481354,708.0095052859707
"['Ti', 'Hf', 'Zr', 'V']",-6961.9496439576415,0.1142671253245086,2.052825898876008,0.3664795292923227,0.0522953104334145,0.0861931707022858,721.5138308594464
"['Hf', 'Zr', 'Pt', 'V']",-6347.636966116649,0.0848318379987964,2.057776003069768,0.5921154138588786,0.065481187547871,0.0862523618763937,722.0093138592676
"['Sn', 'Pb', 'Rh', 'V']",-4933.887730132763,0.1157679618557808,2.07230066889126,0.2799411448724046,0.0554738715917582,0.0930952050018723,779.2900231916525
"['Sn', 'Rh', 'Pt', 'V']",-5014.834808064183,0.0619362742578318,2.0211684589303567,0.232974320376531,0.0459311478265023,0.0934234689928263,782.0378860178685
"['Ti', 'Rh', 'Pt', 'V']",-5533.806163875423,0.0613350022265438,1.9928872908449808,0.4074452879760534,0.039902772219475,0.0937336126433354,784.6340654085589
"['Ti', 'Sn', 'Zr', 'Pb']",-5746.650399644134,0.1025604337095019,2.1096309410370697,0.5450501952886169,0.0370924041130497,0.0945372202648062,791.3609790230718
"['Sn', 'Pb', 'Ru', 'V']",-5110.815672786936,0.1218699908985348,2.0770619662430296,0.2281424719642134,0.0641230152216819,0.0982427236582923,822.3793523688144
"['Ti', 'Zr', 'Pt', 'V']",-6112.436723304572,0.091619444607164,2.028625547061657,0.4936691340940606,0.057691135679871,0.0996862109118907,834.4626300769515
"['Ti', 'Sn', 'Hf', 'Pb']",-5877.078920449732,0.0988099843956517,2.100407310461218,0.572977888669173,0.0358747466757908,0.1000274603531847,837.3191927217707
"['Hf', 'Rh', 'Pt', 'V']",-5763.486308008486,0.0701107918742925,2.0216659114934914,0.502460014896614,0.0586985629652971,0.1018626490727374,852.6813615874229
"['Ge', 'Ti', 'Pt', 'V']",-5529.068733331883,0.0641290072566167,1.9735978205162967,0.368618649606258,0.0475255612572783,0.1022762688684633,856.1437287436823
"['Ge', 'Sn', 'Pt', 'V']",-5009.77661034932,0.0685193204445422,2.002837341296948,0.2227863451626617,0.0459773169199429,0.1032191219809259,864.0362514988831
"['Ge', 'Zr', 'Pb', 'V']",-5547.688388293662,0.1799042741030954,2.081864037588282,0.4540404412434718,0.0864358924373227,0.1033559044773806,865.1812431752237
"['Ge', 'Pb', 'Pt', 'V']",-4833.276432256932,0.138128151841482,2.041474296844578,0.2728154205026493,0.073921963844838,0.1040874511396587,871.3049421928159
"['Zr', 'Pb', 'Rh', 'V']",-5550.033587041355,0.1388773501189572,2.080539426030676,0.4780239619365252,0.0721248831240609,0.1041579037047855,871.8946930947062
"['Ti', 'Hf', 'Zr', 'Pb']",-6494.780542495657,0.1094352621820239,2.110946475294297,0.598466910509958,0.0365939528320881,0.1050129514883924,879.0522068152419
"['Ge', 'Hf', 'Pt', 'V']",-5760.105453763088,0.0784779728937354,2.00417711152224,0.4738967073565509,0.0525596740652521,0.1051061791332426,879.832605478266
"['Pb', 'Rh', 'Ru', 'Pt']",-4766.473377438187,0.099219127090021,2.0686471022270987,0.1834599815708819,0.0568579288715358,0.1054523114385679,882.7300420566476
"['Ti', 'Sn', 'Rh', 'V']",-5625.821629400283,0.0838818866914144,2.012315823398961,0.3757647636264761,0.0433468149188012,0.1063559047909512,890.2939255511891
"['Ge', 'Ti', 'Hf', 'V']",-6374.039003798826,0.0983822394739567,1.996751570869596,0.3951621547798487,0.0507660537943648,0.1065279559484109,891.7341474238859
"['Ge', 'Sn', 'Hf', 'V']",-5854.740419894249,0.0931894661545228,2.023620315202725,0.3618681012557123,0.0515180536722859,0.1074960470374994,899.8379345872773
"['Ge', 'Rh', 'Pt', 'V']",-5047.495552482278,0.0619208798041533,1.9768589689446885,0.2179489841138312,0.0455450755328359,0.1075337354874914,900.1534205789319
"['Ge', 'Ti', 'Pb', 'V']",-5446.67936055755,0.1678062098000907,2.04448663862818,0.4296160437602481,0.0614391555775701,0.1075819691076382,900.5571790642598
"['Ge', 'Sn', 'Zr', 'V']",-5722.817186103089,0.1053416527956618,2.0322882080435094,0.3355011817528976,0.0581012486361663,0.1078445295489718,902.755044490432
