,EperFormula,Cation,File
18,-26.191137011144583,Ce,./Binary_oxides/CeO2-fluorite-ICSD_CollCode72155.cif
13,-19.35231657836051,Ge,./Binary_oxides/GeO2-rutile-ICSD_CollCode92551.cif
5,-30.51698763764445,Hf,./Binary_oxides/HfO2-baddeleyite-ICSD_CollCode60903.cif
19,-21.09692474486741,Ir,./Binary_oxides/IrO2-rutile-ICSD_CollCode84577.cif
113,-21.34504445001265,Mn,./Binary_oxides/mp_Mn-O_cif_files/mp-1182678_Mn2O3.cif
62,-28.88497243512124,Nb,./Binary_oxides/mp_Nb-O_cif_files/mp-1595_Nb2O5.cif
164,-16.038234187626582,Pb,./Binary_oxides/mp_Pb-O_cif_files/mp-22633_Pb3O4.cif
1,-17.2973205634327,Pt,./Binary_oxides/PtO2-Pnnm-ICSD_CollCode4415.cif
25,-19.39216830570282,Rh,./Binary_oxides/RhO2-rutile-ICSD_CollCode28498.cif
21,-22.177257484299965,Ru,./Binary_oxides/RuO2-rutile-ICSD_CollCode117650.cif
73,-25.107779043124744,Sc,./Binary_oxides/mp_Sc-O_cif_files/mp-216_Sc2O3.cif
22,-18.785551380849096,Sn,./Binary_oxides/SnO2-rutile-ICSD_CollCode39173.cif
6,-26.89571939000177,Ti,./Binary_oxides/TiO2-anatase-ICSD_CollCode9852.cif
296,-23.508124899999427,V,./Binary_oxides/mp_V-O_cif_files/mp-25279_V2O5.cif
20,-28.45709322382538,Zr,./Binary_oxides/ZrO2-baddeleyite-ICSD_CollCode68782.cif
