Formula,Energy,sigma bond length,Bond length,O sigma,Cation sigma,DeltaH,T/K
"['Ti', 'Hf', 'Zr', 'Rh']",-6687.632420163675,0.0842262459258402,2.057327933488443,0.5162099932687847,0.03367815101550982,0.1919279980292492,1606.6087832593848
"['Sn', 'Hf', 'Zr', 'Rh']",-6170.369158190939,0.0579210094795426,2.0835427101728694,0.5715269453181404,0.034520663956193576,0.18494561282208277,1548.159982057257
"['Ti', 'Sn', 'Hf', 'Pb']",-5876.751083871295,0.1001084917103196,2.101079086943393,0.5653592203288351,0.035562405661534895,0.10306422765822987,862.7396476585061
"['Ti', 'Hf', 'Zr', 'Pb']",-6494.221635233291,0.1066248986825606,2.108820287087932,0.6027665884584135,0.03577259546273502,0.10895534714450417,912.0535800032619
"['Sn', 'Hf', 'Zr', 'Pb']",-5988.332736453336,0.0665376495884989,2.1362921262271266,0.6453630649586608,0.036034557995198224,0.05754185571553361,481.6767316227196
"['Hf', 'Zr', 'Pb', 'Rh']",-5987.658123990184,0.0819967172171626,2.1131137710074475,0.7163665811760863,0.036117746624529115,0.21183129186315064,1773.2171312736502
"['Sn', 'Hf', 'Zr', 'Ce']",-6613.368317444816,0.0862760790829099,2.150286354936452,0.3282920566911448,0.036457749734223506,0.15422232334706543,1290.97860556178
"['Ti', 'Sn', 'Rh', 'Pt']",-5229.746728950755,0.0530435828060998,2.028073315705219,0.42076473133804726,0.036498518663734214,0.16399175003271171,1372.7574334646063
"['Ti', 'Sn', 'Zr', 'Pb']",-5748.135765869899,0.1054992360957502,2.1104123620050736,0.5346668932922749,0.037213481076977105,0.09049421014641634,757.5173729118784
"['Ge', 'Ti', 'Rh', 'Pt']",-5265.42263778483,0.0479395749645925,1.9835345580295567,0.40480270263555196,0.03792971016813976,0.16632403052746003,1392.2807045160562
"['Ti', 'Sn', 'Zr', 'Rh']",-5939.749633192871,0.0837689982421444,2.057776928001714,0.5070378855233824,0.038508959279291294,0.18048607043511478,1510.8296287904634
"['Ge', 'Sn', 'Hf', 'Zr']",-6180.085556302417,0.0922705351374057,2.067270799286174,0.3998362807426166,0.038700466887321074,0.1370280008635456,1147.0467675398602
"['Sn', 'Hf', 'Pb', 'Rh']",-5375.129608747315,0.0748126678116816,2.1044720390313114,0.5948120991613706,0.03872051379507903,0.18663534378653956,1562.3045395825634
"['Ti', 'Rh', 'Ru', 'Ir']",-5689.980679329819,0.0393306681691087,1.9945351405824192,0.3602811706891863,0.03898847397620462,0.16403045258588644,1373.0814084057486
"['Sn', 'Hf', 'Zr', 'Ru']",-6339.235886958511,0.0629422742893437,2.0830688321047037,0.46189730797878026,0.0390724096376837,0.2215822482230383,1854.8413460512515
"['Ge', 'Ti', 'Sn', 'Rh']",-5351.905344483273,0.0721748348847021,2.002265613960766,0.3650652930165232,0.039221525215195466,0.20055866184076443,1678.8551487053794
"['Ge', 'Ti', 'Sn', 'Hf']",-6081.855130297429,0.0946445385699378,2.029708292884864,0.37894936787836103,0.03936926018739917,0.13039714398962587,1091.5405724898194
"['Ti', 'Hf', 'Pb', 'Rh']",-5890.67918045313,0.1032759489637485,2.0782808721157164,0.6469575711629387,0.039522125739829966,0.20031183159886545,1676.788959099481
"['Ge', 'Sn', 'Pb', 'Rh']",-4642.128074594803,0.0987552131705533,2.0625885305102103,0.2804013710981993,0.03955800521396298,0.2587548217488038,2166.0089908768323
"['Rh', 'Ru', 'Ir', 'V']",-5481.6690522739245,0.042984830761391,1.9828107972406663,0.13416617290270458,0.03959489290397448,0.13084912327238918,1095.3240428172082
"['Ti', 'Sn', 'Pb', 'Rh']",-5141.663873879459,0.0955364895029319,2.074918805200017,0.48190106903178825,0.03962097765507376,0.19329380870343194,1618.0418386131794
"['Ti', 'Hf', 'Rh', 'Ru']",-6285.924157785944,0.0628328368584822,2.02015933923704,0.5307895335431732,0.03965427687658997,0.19114196306090836,1600.0289684483485
"['Ti', 'Zr', 'Rh', 'Ru']",-6143.854914902888,0.0785565607706766,2.0295711310021374,0.48739427169169597,0.04016347490782336,0.23112633961808005,1934.7339162908868
"['Ge', 'Ti', 'Rh', 'Ru']",-5566.21292368822,0.0513876867909633,1.9740367334513036,0.370781450213145,0.04016546501601076,0.21134620643415847,1769.1565329302484
"['Ti', 'Sn', 'Hf', 'Rh']",-6074.760629586607,0.0702275572367059,2.046467937151353,0.5031352453966379,0.04017658179222625,0.1680729692268521,1406.920883670102
"['Ti', 'Sn', 'Rh', 'Ru']",-5532.98281964299,0.0613514596216943,2.019709727035816,0.36674134688856364,0.04033048253600808,0.19946000098298544,1669.6583759465555
