Formula,Energy,sigma bond length,Bond length,O sigma,Cation sigma,DeltaH,T/K
"['Ti', 'Sn', 'Hf', 'Zr']",-6678.717763871151,0.0944547003463981,2.083373653476965,0.32445230460198193,0.029935934558429474,0.07509664295849294,628.6259816664267
"['Sn', 'Hf', 'Zr', 'Pb']",-5988.435594411974,0.0653968339033733,2.13593372704721,0.6250719084929184,0.032895638226212595,0.05714006681460315,478.3133996238487
"['Ti', 'Hf', 'Zr', 'Rh']",-6688.173980339486,0.0818205619344106,2.0566889356712896,0.5343982371379897,0.03365343142425762,0.18981252859248965,1588.9004144298578
"['Ge', 'Sn', 'Rh', 'Pt']",-4738.4750748417655,0.0547249793859858,2.012793916728566,0.2364656622018168,0.03466059586212319,0.19717094598563722,1650.4969409195357
"['Ti', 'Sn', 'Hf', 'Pb']",-5877.078920449732,0.0988099843956517,2.100407310461218,0.572977888669173,0.03587474667579088,0.10178361602370956,852.0197843707593
"['Ge', 'Ti', 'Sn', 'Rh']",-5348.842398148119,0.0697955497186002,2.002193166791048,0.36418916911969473,0.03619393168788322,0.21252329596246078,1779.0098237177913
"['Sn', 'Zr', 'Pb', 'Rh']",-5242.864990735435,0.0772362825350571,2.1148665649967446,0.5305929992278686,0.03624469458882679,0.1883204044406792,1576.410002438759
"['Sn', 'Hf', 'Zr', 'Rh']",-6170.717452706728,0.0562521588949687,2.0829823997958035,0.547927791379041,0.03644235474536204,0.18358508736978063,1536.7711687316291
"['Ti', 'Hf', 'Zr', 'Pb']",-6494.780542495657,0.1094352621820239,2.110946475294297,0.598466910509958,0.03659395283208814,0.10677211565088651,893.7779822293504
"['Ge', 'Ti', 'Rh', 'Pt']",-5264.991577020989,0.0474817710894671,1.983514919261297,0.41267558644969077,0.0366704393600526,0.16800786163621328,1406.375874979076
"['Ti', 'Sn', 'Hf', 'Rh']",-6074.258738443844,0.0720287393764871,2.0467572804336878,0.4918729853734894,0.03672009501145782,0.17003348150327113,1423.3321226520386
"['Ti', 'Sn', 'Zr', 'Pb']",-5746.650399644134,0.1025604337095019,2.1096309410370697,0.5450501952886169,0.03709240411304972,0.09629642196580956,806.0870686680335
"['Hf', 'Zr', 'Pb', 'Rh']",-5989.131121406035,0.0824303664209294,2.113352626223816,0.7505817503315562,0.03742384504587173,0.2060773957074833,1725.051880780865
"['Ti', 'Sn', 'Rh', 'Pt']",-5231.2640462706295,0.0551078452629686,2.0280999118022978,0.44363468987584126,0.03761281699796569,0.1580647292519517,1323.1429752161607
"['Ti', 'Hf', 'Rh', 'Ru']",-6284.715541856916,0.0641222391227328,2.020081612781397,0.5330073518145036,0.038152578818280165,0.19586311903367193,1639.5492611146822
"['Ge', 'Ti', 'Sn', 'Hf']",-6082.6921165691565,0.0965715512529812,2.030407280668345,0.3575292279118476,0.038340178950789755,0.12712766636569128,1064.1721243154013
"['Ge', 'Ti', 'Sn', 'Pt']",-5227.428417287882,0.0695170901769835,2.0077724586919543,0.38790649858807263,0.03835576352611175,0.16308472313022992,1365.1648080887207
"['Sn', 'Hf', 'Zr', 'Ce']",-6614.20187128171,0.0878864164201112,2.150458221997096,0.3465409104795751,0.03890355342420088,0.15096625367169914,1263.7223938935335
"['Ge', 'Sn', 'Hf', 'Zr']",-6183.543093927145,0.0926228963582821,2.0662045651769745,0.40063881690056247,0.039898495371850626,0.12352199451695345,1033.9894301737656
"['Ti', 'Rh', 'Pt', 'V']",-5533.806163875423,0.0613350022265438,1.9928872908449808,0.4074452879760534,0.03990277221947503,0.156902962145808,1313.4179467888448
"['Ge', 'Ti', 'Hf', 'Rh']",-6105.102935052599,0.0771132185836805,2.0035173538765494,0.5284538858289738,0.04002061342530988,0.19123963787817644,1600.8465939169484
"['Ti', 'Rh', 'Ru', 'Ir']",-5687.16735769468,0.0378275679056812,1.994821315274404,0.3223742181991509,0.040271086637130325,0.1750199902231513,1465.0736548381767
"['Ti', 'Zr', 'Rh', 'Ru']",-6143.532030521148,0.0799192973033851,2.0303016612455047,0.5006055636771751,0.04061047302761994,0.23238760673425052,1945.2918486805474
"['Sn', 'Hf', 'Zr', 'Ru']",-6340.289579003301,0.0628574471342033,2.0824078887086976,0.4953188308345711,0.040691850087861296,0.21746626367307975,1820.386878763391
"['Ge', 'Ti', 'Hf', 'Zr']",-6701.21115292855,0.1141023053534035,2.038017939540394,0.2994028982726817,0.04073702438636605,0.12892314133088068,1079.2018535827071
"['Ti', 'Sn', 'Zr', 'Rh']",-5938.086846332884,0.0842654056782014,2.0582654525724013,0.46962392012937565,0.04079392651548978,0.18698133160693953,1565.2007666930583
